angle = 10 degree, matching result = 94
angle = 20 degree, matching result = 5
angle = 30 degree, matching result = 3
angle = 40 degree, matching result = 3
angle = 50 degree, matching result = 3
angle = 60 degree, matching result = 4
angle = 70 degree, matching result = 2
angle = 80 degree, matching result = 6
angle = 90 degree, matching result = 3
angle = 100 degree, matching result = 7
angle = 110 degree, matching result = 0
angle = 120 degree, matching result = 2
angle = 130 degree, matching result = 5
angle = 140 degree, matching result = 6
angle = 150 degree, matching result = 3
angle = 160 degree, matching result = 5
angle = 170 degree, matching result = 2
angle = 180 degree, matching result = 7
angle = 190 degree, matching result = 4
angle = 200 degree, matching result = 3
angle = 210 degree, matching result = 4
angle = 220 degree, matching result = 0
angle = 230 degree, matching result = 5
angle = 240 degree, matching result = 6
angle = 250 degree, matching result = 3
angle = 260 degree, matching result = 6
angle = 270 degree, matching result = 3
angle = 280 degree, matching result = 4
angle = 290 degree, matching result = 8
angle = 300 degree, matching result = 5
angle = 310 degree, matching result = 5
angle = 320 degree, matching result = 6
angle = 330 degree, matching result = 6
angle = 340 degree, matching result = 7
angle = 350 degree, matching result = 98
angle = 360 degree, matching result = 945
